"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 11- 29","14,258.49","14,367.11","14,423.22","14,247.89","979.43M","-0.16%"
"2023- 11- 28","14,281.76","14,224.63","14,303.66","14,195.72","870.61M","0.29%"
"2023- 11- 27","14,241.02","14,239.31","14,305.71","14,205.24","839.28M","-0.07%"
"2023- 11- 24","14,250.86","14,238.04","14,270.28","14,214.13","441.68M","-0.11%"
"2023- 11- 22","14,265.86","14,283.82","14,359.61","14,226.63","717.39M","0.46%"
"2023- 11- 21","14,199.98","14,217.23","14,237.50","14,146.30","815.36M","-0.59%"
"2023- 11- 20","14,284.53","14,134.75","14,309.80","14,134.20","902.05M","1.13%"
"2023- 11- 17","14,125.48","14,101.43","14,154.32","14,063.93","946.65M","0.08%"
"2023- 11- 16","14,113.67","14,066.88","14,130.45","14,033.79","925.11M","0.07%"
"2023- 11- 15","14,103.84","14,147.27","14,194.36","14,060.70","1.06B","0.07%"
"2023- 11- 14","14,094.38","14,015.37","14,124.06","14,003.14","1.11B","2.37%"
"2023- 11- 13","13,767.74","13,745.96","13,805.11","13,687.78","837.61M","-0.22%"
"2023- 11- 10","13,798.11","13,571.19","13,802.53","13,556.35","998.71M","2.05%"
"2023- 11- 09","13,521.45","13,693.70","13,697.82","13,506.02","1.04B","-0.94%"
"2023- 11- 08","13,650.41","13,660.22","13,684.87","13,573.58","956.59M","0.08%"
"2023- 11- 07","13,639.86","13,555.79","13,675.46","13,516.56","896.95M","0.90%"
"2023- 11- 06","13,518.78","13,514.08","13,551.62","13,435.99","912.89M","0.30%"
"2023- 11- 03","13,478.28","13,362.85","13,520.28","13,344.73","1.02B","1.38%"
"2023- 11- 02","13,294.19","13,230.49","13,302.18","13,177.64","1.03B","1.78%"
"2023- 11- 01","13,061.47","12,887.06","13,072.42","12,875.20","937.65M","1.64%"
"2023- 10- 31","12,851.24","12,786.62","12,859.40","12,697.04","914.04M","0.48%"
"2023- 10- 30","12,789.48","12,750.46","12,842.96","12,691.56","801.65M","1.16%"
"2023- 10- 27","12,643.01","12,718.69","12,772.43","12,600.57","856.38M","0.38%"
"2023- 10- 26","12,595.61","12,768.97","12,818.14","12,543.86","941.24M","-1.76%"
"2023- 10- 25","12,821.22","13,039.86","13,042.52","12,804.30","950.80M","-2.43%"
"2023- 10- 24","13,139.88","13,084.99","13,170.39","13,022.85","878.12M","0.93%"
"2023- 10- 23","13,018.33","12,930.85","13,143.22","12,848.83","859.07M","0.27%"
"2023- 10- 20","12,983.81","13,157.77","13,177.35","12,977.43","1.03B","-1.53%"
"2023- 10- 19","13,186.17","13,354.80","13,404.73","13,157.33","920.00M","-0.96%"
"2023- 10- 18","13,314.30","13,439.68","13,499.74","13,275.30","843.06M","-1.62%"
"2023- 10- 17","13,533.75","13,419.87","13,602.25","13,364.74","906.42M","-0.25%"
"2023- 10- 16","13,567.98","13,453.81","13,598.05","13,447.17","832.45M","1.20%"
"2023- 10- 13","13,407.23","13,613.59","13,619.54","13,361.85","843.48M","-1.23%"
